"","totalHeat.AHU","time","equipment","totalHeat.room","totalHeat"
"60",1.99879506617624,2021-03-02 05:30:00,"AHU2E",0.8031579832617,2.80195304943794
"61",31.9493698335681,2021-03-02 06:00:00,"AHU2E",56.9750782178554,88.9244480514235
"62",10.2551759852588,2021-03-02 06:30:00,"AHU2E",104.832486956059,115.087662941318
"63",12.0089999161979,2021-03-02 07:00:00,"AHU2E",116.272910955922,128.28191087212
"64",15.6877251220003,2021-03-02 07:30:00,"AHU2E",82.5074084660189,98.1951335880192
"65",15.4142632846228,2021-03-02 08:00:00,"AHU2E",77.8835490025649,93.2978122871877
"66",17.6934922986646,2021-03-02 08:30:00,"AHU2E",60.3761883808872,78.0696806795518
"67",20.1169490921417,2021-03-02 09:00:00,"AHU2E",63.573699358332,83.6906484504737
"68",17.0866491993541,2021-03-02 09:30:00,"AHU2E",56.445805903565,73.5324551029191
"69",15.0262641653149,2021-03-02 10:00:00,"AHU2E",54.6891257518155,69.7153899171305
"70",15.7541179430244,2021-03-02 10:30:00,"AHU2E",42.3800391361961,58.1341570792205
"71",13.5413860322758,2021-03-02 11:00:00,"AHU2E",49.4953041508543,63.0366901831301
"72",12.9862276175207,2021-03-02 11:30:00,"AHU2E",41.607372934943,54.5936005524637
"73",12.3985061253712,2021-03-02 12:00:00,"AHU2E",39.622363385027,52.0208695103983
"74",6.22870349819691,2021-03-02 12:30:00,"AHU2E",45.5344209608869,51.7631244590838
"75",2.91214220635935,2021-03-02 13:00:00,"AHU2E",30.8354341179187,33.7475763242781
"76",1.79885655121615,2021-03-02 13:30:00,"AHU2E",49.2700907596282,51.0689473108443
"77",2.85249548077784,2021-03-02 14:00:00,"AHU2E",39.3497808722039,42.2022763529818
"78",3.47126994756946,2021-03-02 14:30:00,"AHU2E",33.9649777906105,37.4362477381799
"79",3.11323566650646,2021-03-02 15:00:00,"AHU2E",42.6112551220706,45.724490788577
"80",2.77370375936884,2021-03-02 15:30:00,"AHU2E",38.5173533705465,41.2910571299153
"81",3.71016271274472,2021-03-02 16:00:00,"AHU2E",45.8609168123021,49.5710795250468
"82",3.36877523217776,2021-03-02 16:30:00,"AHU2E",41.0452697918523,44.4140450240301
"83",3.3839914467083,2021-03-02 17:00:00,"AHU2E",49.2488229585556,52.6328144052639
"84",3.72970920833402,2021-03-02 17:30:00,"AHU2E",40.788606338889,44.518315547223
"85",3.3450232498804,2021-03-02 18:00:00,"AHU2E",56.3755209347416,59.720544184622
"86",6.39671429413129,2021-03-02 18:30:00,"AHU2E",43.113541776674,49.5102560708053
"87",0.264862859293024,2021-03-02 19:00:00,"AHU2E",4.68448351740593,4.94934637669895
"88",0.29069441233575,2021-03-02 19:30:00,"AHU2E",0.264346215238121,0.555040627573871
"89",0.481842250146033,2021-03-02 20:00:00,"AHU2E",0.143825464381415,0.625667714527447
"90",0.548113964385163,2021-03-02 20:30:00,"AHU2E",0.0900609415432065,0.638174905928369
"91",0.569778784410514,2021-03-02 21:00:00,"AHU2E",0.0478278103722837,0.617606594782798
"92",0.566915698167735,2021-03-02 21:30:00,"AHU2E",0.0249975648913224,0.591913263059058
"93",0.494969481403866,2021-03-02 22:00:00,"AHU2E",0.0304646052836103,0.525434086687476
"94",0.457116702698887,2021-03-02 22:30:00,"AHU2E",0.0395787106648351,0.496695413363722
"95",0.433938549717483,2021-03-02 23:00:00,"AHU2E",0.0462544448120676,0.480192994529551
"96",0.384121263968698,2021-03-02 23:30:00,"AHU2E",0.0557639421062561,0.439885206074955
"97",0.336335513257648,2021-03-03 00:00:00,"AHU2E",0.0663591757538659,0.402694689011514
"98",0.305024195292557,2021-03-03 00:30:00,"AHU2E",0.0810212126413631,0.38604540793392
"99",0.275453336537537,2021-03-03 01:00:00,"AHU2E",0.0865237883682488,0.361977124905786
"100",0.248948468325651,2021-03-03 01:30:00,"AHU2E",0.102184543559185,0.351133011884836
"101",0.213768891651787,2021-03-03 02:00:00,"AHU2E",0.120872556038533,0.33464144769032
"102",0.189787751657266,2021-03-03 02:30:00,"AHU2E",0.115487626502235,0.305275378159501
"103",0.163785501882539,2021-03-03 03:00:00,"AHU2E",0.125335970144841,0.28912147202738
"104",0.139206993285377,2021-03-03 03:30:00,"AHU2E",0.193947875038806,0.333154868324183
"105",0.178141094949689,2021-03-03 04:00:00,"AHU2E",0.242388891330446,0.420529986280135
"106",1.25713507482699,2021-03-03 04:30:00,"AHU2E",0.643686336323903,1.90082141115089
"107",2.36132915313666,2021-03-03 05:00:00,"AHU2E",1.20490886652801,3.56623801966467
"108",2.77829356725445,2021-03-03 05:30:00,"AHU2E",1.09073310012219,3.86902666737664
"109",38.4098131530686,2021-03-03 06:00:00,"AHU2E",54.8023496297869,93.2121627828554
"110",15.9386309904428,2021-03-03 06:30:00,"AHU2E",100.502920107967,116.441551098409
"111",16.3851085367409,2021-03-03 07:00:00,"AHU2E",108.460891746502,124.846000283243
"112",21.0106847967936,2021-03-03 07:30:00,"AHU2E",70.1335768754666,91.1442616722603
"113",19.1975219368403,2021-03-03 08:00:00,"AHU2E",67.3027232815571,86.5002452183973
"114",16.3294577990361,2021-03-03 08:30:00,"AHU2E",47.1246520696082,63.4541098686442
"115",9.21223218330324,2021-03-03 09:00:00,"AHU2E",47.9295684252373,57.1418006085405
"116",4.03982898822176,2021-03-03 09:30:00,"AHU2E",50.04746084195,54.0872898301717
"117",1.90000110126006,2021-03-03 10:00:00,"AHU2E",45.6197233117382,47.5197244129983
"118",2.78685765182333,2021-03-03 10:30:00,"AHU2E",25.1043533493059,27.8912110011292
"119",1.97680318647197,2021-03-03 11:00:00,"AHU2E",25.1007337412911,27.077536927763
"120",3.03640065150264,2021-03-03 11:30:00,"AHU2E",23.2327326001718,26.2691332516744
"121",3.09788083056579,2021-03-03 12:00:00,"AHU2E",22.3191427006016,25.4170235311674
"122",2.37507360436823,2021-03-03 12:30:00,"AHU2E",20.274575508052,22.6496491124203
"123",2.630618783005,2021-03-03 13:00:00,"AHU2E",20.1602354671876,22.7908542501926
"124",2.73804386690567,2021-03-03 13:30:00,"AHU2E",10.5162055627895,13.2542494296951
"125",2.69591855124203,2021-03-03 14:00:00,"AHU2E",16.9505245344342,19.6464430856762
"126",2.09963071743948,2021-03-03 14:30:00,"AHU2E",19.6517617462759,21.7513924637154
"127",3.21241566027328,2021-03-03 15:00:00,"AHU2E",20.7273200512792,23.9397357115524
