sep=;
"Series";"Time";"Value"
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:11:13-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:11:30-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:32:11-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:33:35-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:38:18-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:40:19-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:48:30-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:02-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:36-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:50-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-15T19:04:42-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-16T06:04:45-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-16T19:04:50-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-17T08:04:54-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-17T17:59:57-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-18T08:05:03-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-18T18:05:06-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-19T06:05:10-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-19T19:00:15-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T06:05:19-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T07:25:16-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T08:41:36-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T10:10:36-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T19:05:21-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:40:09-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:44:45-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:52:03-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:06:21-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:15:26-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:30:01-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:32:15-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:36:41-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:21:21-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:29:23-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:38:23-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:41:53-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:42:42-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:50:37-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:45:55-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:50:25-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:52:04-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:15:26-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:19:36-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:27:52-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:39:54-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:43:23-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:44:30-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:55:21-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:55:59-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:56:10-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T03:03:49-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T03:07:40-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T06:00:28-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-21T19:00:32-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-22T06:00:36-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-22T19:00:42-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-23T06:00:46-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-23T19:00:50-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-24T08:00:54-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-24T18:05:58-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-25T08:01:03-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-25T18:01:06-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-26T06:01:11-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-26T19:11:15-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-27T06:01:18-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-27T15:31:28-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-27T15:32:05-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-27T19:01:23-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-28T06:01:27-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-28T19:01:32-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-29T06:01:36-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-29T19:01:41-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-30T06:01:45-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-30T19:01:49-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-31T08:06:53-04:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-31T18:01:58-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-10-31T20:56:58-04:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-01T08:02:03-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-01T18:07:06-05:00";0
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T06:07:10-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T09:22:29-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T09:33:18-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:02:22-05:00";1
"supply_fan_status {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:08:19-05:00";1
