sep=;
"Series";"Time";"Value"
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-06T18:21:51-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-07T06:01:55-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-08T19:02:09-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-09T06:02:13-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-09T19:02:18-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-10T06:02:22-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-10T19:12:26-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-11T06:02:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-11T19:02:35-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-12T08:02:42-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-12T18:02:46-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-13T08:02:52-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-13T18:02:56-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-14T06:03:02-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-14T09:20:10-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-14T19:08:08-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-15T06:03:12-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-15T19:03:18-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T06:03:23-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T08:23:45-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T08:40:41-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T08:52:20-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T15:35:43-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-16T19:15:43-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-17T06:05:47-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-17T19:05:52-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-18T06:05:55-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-18T19:06:00-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-19T08:06:04-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-19T18:06:08-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-20T08:01:13-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-20T18:06:16-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-21T06:01:20-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-21T19:06:25-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-22T06:01:29-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-22T19:06:33-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-23T06:01:37-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-25T19:06:56-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-26T08:02:00-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-26T18:07:04-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-27T08:02:09-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-27T18:12:12-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-28T06:02:17-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-28T19:07:21-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-29T06:02:25-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-29T19:07:29-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-30T06:02:32-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-30T19:07:37-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-01T06:02:41-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-01T19:07:46-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-02T06:02:50-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-02T19:07:54-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-03T08:02:59-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-03T18:13:03-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-04T08:03:07-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-04T18:03:10-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-05T06:03:15-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-05T19:08:20-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-06T06:03:23-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-06T19:08:28-04:00";0
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-07T06:03:31-04:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-10-07T19:08:37-04:00";0
