sep=;
"Series";"Time";"Value"
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T05:00:00-04:00";458.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T08:00:00-04:00";453.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T11:00:00-04:00";425.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T14:00:00-04:00";423.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T17:00:00-04:00";422.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T20:00:00-04:00";426.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-21T23:00:00-04:00";423.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T02:00:00-04:00";436.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T05:00:00-04:00";472.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T08:00:00-04:00";476.778
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T11:00:00-04:00";425.861
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T14:00:00-04:00";416.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T17:00:00-04:00";416.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T20:00:00-04:00";420.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-22T23:00:00-04:00";430.5
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T02:00:00-04:00";437.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T05:00:00-04:00";461.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T08:00:00-04:00";467.222
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T11:00:00-04:00";436
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T14:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T17:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T20:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-23T23:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T02:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T05:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T08:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T11:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T14:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T17:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T20:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-24T23:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T02:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T05:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T08:00:00-04:00";null
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T11:00:00-04:00";443.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T14:00:00-04:00";435.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T17:00:00-04:00";437.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T20:00:00-04:00";445.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-25T23:00:00-04:00";449.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T02:00:00-04:00";450.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T05:00:00-04:00";448.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T08:00:00-04:00";442.5
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T11:00:00-04:00";433.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T14:00:00-04:00";435.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T17:00:00-04:00";429.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T20:00:00-04:00";439.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-26T23:00:00-04:00";452.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T02:00:00-04:00";480.944
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T05:00:00-04:00";489.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T08:00:00-04:00";487.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T11:00:00-04:00";436.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T14:00:00-04:00";426.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T17:00:00-04:00";426.333
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T20:00:00-04:00";451.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-27T23:00:00-04:00";454.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T02:00:00-04:00";454.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T05:00:00-04:00";463.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T08:00:00-04:00";464.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T11:00:00-04:00";449.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T14:00:00-04:00";445.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T17:00:00-04:00";433.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T20:00:00-04:00";443.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-28T23:00:00-04:00";450.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T02:00:00-04:00";447.222
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T05:00:00-04:00";451.278
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T08:00:00-04:00";452.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T11:00:00-04:00";442.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T14:00:00-04:00";430.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T17:00:00-04:00";436.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T20:00:00-04:00";435.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-29T23:00:00-04:00";432.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T02:00:00-04:00";435.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T05:00:00-04:00";451.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T08:00:00-04:00";443.167
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T11:00:00-04:00";430.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T14:00:00-04:00";426.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T17:00:00-04:00";427.333
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T20:00:00-04:00";423.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-30T23:00:00-04:00";422.778
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T02:00:00-04:00";430.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T05:00:00-04:00";450.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T08:00:00-04:00";452.028
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T11:00:00-04:00";436.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T14:00:00-04:00";432.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T17:00:00-04:00";432.278
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T20:00:00-04:00";429.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-01T23:00:00-04:00";438.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T02:00:00-04:00";437.278
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T05:00:00-04:00";454.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T08:00:00-04:00";455
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T11:00:00-04:00";433.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T14:00:00-04:00";430.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T17:00:00-04:00";423.861
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T20:00:00-04:00";428.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-02T23:00:00-04:00";432.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T02:00:00-04:00";433.944
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T05:00:00-04:00";446.611
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T08:00:00-04:00";452.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T11:00:00-04:00";431.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T14:00:00-04:00";422.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T17:00:00-04:00";424.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T20:00:00-04:00";423.5
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-03T23:00:00-04:00";424.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T02:00:00-04:00";429.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T05:00:00-04:00";448.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T08:00:00-04:00";454.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T11:00:00-04:00";425.25
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T14:00:00-04:00";417.556
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T17:00:00-04:00";419.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T20:00:00-04:00";420.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-04T23:00:00-04:00";427.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T02:00:00-04:00";435.306
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T05:00:00-04:00";447.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T08:00:00-04:00";449.694
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-10-05T11:00:00-04:00";429.75
