"","equipment","time","MAT","RFNC","SFNC","SFNVFDALA","SFNSTS","RFNSTS","RFNVFDO","SATSP","SAF","SAT","SFNVFDO","SAEnthalpy","MAEnthalpy","totalHeat","fanEnergy"
"77","AHU2E",2021-03-02 14:00:00,56.29999924,1,1,0,1,1,22.71666718,68,4332.590007,57.43333371,54.20000076,83.8246053857255,82.664014221722,2.85249548077784,27.2633974093218
"78","AHU2E",2021-03-02 14:30:00,55.86666616,1,1,0,1,1,22.63333321,68,4372.264974,57.23333295,54.13333257,83.6197946074475,82.220259481148,3.47126994756946,27.5130574027149
"79","AHU2E",2021-03-02 15:00:00,56.45000013,1,1,0,1,1,25.98333359,68,4593.523438,57.61666679,54.09999847,84.0123476262995,82.8176226331265,3.11323566650646,28.9053556410578
"80","AHU2E",2021-03-02 15:30:00,56.48333359,1,1,0,1,1,24.08333365,68,4407.361735,57.56666692,54.09999847,83.961145259426,82.8517577628395,2.77370375936884,27.7339084274777
"81","AHU2E",2021-03-02 16:00:00,55.89999962,1,1,0,1,1,27.20000013,68,4730.856689,57.25,54.09999847,83.6368625,82.254394610861,3.71016271274472,29.7695433425199
"82","AHU2E",2021-03-02 16:30:00,56.60000102,1,1,0,1,1,24.51666673,68,4460.768311,57.90000025,54.36666743,84.3024952560125,82.971231044531,3.36877523217776,28.0699763922301
"83","AHU2E",2021-03-02 17:00:00,56.46666654,1,1,0,1,1,26.95000013,68,4787.82666,57.68333308,54.5,84.080617240574,82.834689870287,3.3839914467083,30.1280344430536
"84","AHU2E",2021-03-02 17:30:00,55.58333333,1,1,0,1,1,24.18333308,68,4531.978353,57.00000064,54.70000076,83.380850655392,81.9301124965865,3.72970920833402,28.518075028714
"85","AHU2E",2021-03-02 18:00:00,56.16666667,1,1,0,1,1,29.41666635,68,5007.050049,57.31666692,55.54999987,83.705132759426,82.5274750034135,3.3450232498804,31.5075267019723
"86","AHU2E",2021-03-02 18:30:00,53.89999962,1,1,0,1,1,24.34999943,68,4556.391602,56.31666565,55.01666641,82.6810814588825,80.206294610861,6.39671429413129,28.6716986368709
"87","AHU2E",2021-03-02 19:00:00,57.75,0.166666667,0.166666667,0,0.166666667,0.166666667,3.416666667,57.16666667,759.8899841,58.34999975,8.950000127,84.7633172439875,84.1488875,0.264862859293024,4.78170853702047
"88","AHU2E",2021-03-02 19:30:00,59.91666603,0,0,0,0,0,0,55,104.2500013,64.71666718,0,91.283103025679,86.3676618480215,0.29069441233575,0.656006963680422
"89","AHU2E",2021-03-02 20:00:00,59.81666629,0,0,0,0,0,0,55,106.7949994,67.58333333,0,94.2187124965865,86.2652571142745,0.481842250146033,0.672021701861087
"90","AHU2E",2021-03-02 20:30:00,60.06666692,0,0,0,0,0,0,55,110.3533325,68.61666743,0,95.2768982816915,86.521270259426,0.548113964385163,0.694412984965028
"91","AHU2E",2021-03-02 21:00:00,60.43333308,0,0,0,0,0,0,55,111.8799998,69.20000076,0,95.874260778278,86.896754740574,0.569778784410514,0.70401974148814
"92","AHU2E",2021-03-02 21:30:00,60.81666692,0,0,0,0,0,0,55,113.9166654,69.38333511,0,96.0620043193955,87.289307759426,0.566915698167735,0.716835729973777
"93","AHU2E",2021-03-02 22:00:00,61.29999987,0,0,0,0,0,0,55,106.2833328,69.31666946,0,95.993735360513,87.7842648668735,0.494969481403866,0.668801971899485
"94","AHU2E",2021-03-02 22:30:00,61.76666641,0,0,0,0,0,0,55,107.3016663,69.09999847,0,95.7718534332035,88.2621547371605,0.457116702698887,0.675209970547146
"95","AHU2E",2021-03-02 23:00:00,62.21666654,0,0,0,0,0,0,55,109.8499985,69.01666641,0,95.6865172371605,88.722977370287,0.433938549717483,0.691245688994384
"96","AHU2E",2021-03-02 23:30:00,62.66666603,0,0,0,0,0,0,55,107.8083344,68.80000178,0,95.464641822809,89.1837993480215,0.384121263968698,0.678398246784364
"97","AHU2E",2021-03-03 00:00:00,63.09999975,0,0,0,0,0,0,55,105.2666651,68.59999847,0,95.2598284332035,89.6275547439875,0.336335513257648,0.66240445551932
"98","AHU2E",2021-03-03 00:30:00,63.5,0,0,0,0,0,0,55,106.7933324,68.41666794,0,95.072088803957,90.037175,0.305024195292557,0.672011212042432
"99","AHU2E",2021-03-03 01:00:00,63.85000038,0,0,0,0,0,0,55,109.8449987,68.16666667,0,94.8160750034135,90.395592889139,0.275453336537537,0.691214227089578
"100","AHU2E",2021-03-03 01:30:00,64.13333257,0,0,0,0,0,0,55,110.3533338,68.01666641,0,94.6624672371605,90.6857392183085,0.248948468325651,0.694412993145451
"101","AHU2E",2021-03-03 02:00:00,64.45000076,0,0,0,0,0,0,55,109.8449999,67.80000178,0,94.440591822809,91.010023278278,0.213768891651787,0.691214234640737
"102","AHU2E",2021-03-03 02:30:00,64.66666667,0,0,0,0,0,0,55,111.375,67.59999847,0,94.2357784332035,91.2319000034135,0.189787751657266,0.70084196325
"103","AHU2E",2021-03-03 03:00:00,64.91666794,0,0,0,0,0,0,55,109.846667,67.48333359,0,94.1163077628395,91.487913803957,0.163785501882539,0.691224725088655
"104","AHU2E",2021-03-03 03:30:00,65.26666641,0,0,0,0,0,0,55,115.9500008,67.33333588,0,93.962702607914,91.8463297371605,0.139206993285377,0.729630762734106
